Ticker,Indicator,Number of observations,Mean,Median,Skewness,Kurtosis,Min,Max,Standard Deviation,Sharpe Ratio
XLU,beta12m,119.0,0.439360154010719,0.46987362840155217,0.222968830123829,-0.4651521204681268,-0.14985030447455783,1.3169900273336588,0.3280121538983261,4.622593875439714
XLU,corr12m,119.0,0.42384897888506706,0.4981186488185167,-0.3746117791643805,-1.183075118687337,-0.16461700407243895,0.875278577600319,0.2899928998577557,5.043346535698366
XLU,drawdown6m,119.0,-0.086276829781016,-0.07974113042149888,-0.4059746330311241,-0.8376225185246895,-0.18868180434033588,-0.007835120050974753,0.05149846272105401,-5.914602781421856
XLV,ret1m,119.0,0.008840756078526087,0.014026069372611305,-0.04421108475323976,-0.2523490117447138,-0.09353601322952132,0.12587449726098576,0.04185197573088427,0.5950503296495577
XLV,ret3m,119.0,0.024916742357091872,0.023362870317266915,-0.19461284147495653,-0.5278355978853844,-0.13144299131081727,0.1466885935216775,0.06224684490619466,1.2947303933092948
XLV,ret6m,119.0,0.047781203257786585,0.043425519855144756,-0.09443899171494222,-0.36898467809296775,-0.12270363797641182,0.1936719002102456,0.07055943338485825,2.2647247895460363
XLV,ret12m,119.0,0.09524397785271303,0.10034558094089252,-0.04469349237377745,-0.5862458460444286,-0.11041209678616848,0.30745929502225156,0.09065799060150224,3.5762272018727295
XLV,vol3m,119.0,0.038082502525653414,0.03798164446948099,0.632315527239989,0.21588557088501403,0.003702851899240983,0.10379072940811901,0.0213705588681908,5.905339857065441
XLV,vol6m,119.0,0.04141807406252225,0.039683906205301704,0.3354614530484124,-0.14066212718592652,0.01228277107476565,0.07261171959499915,0.013535339939731654,10.177444557265872
XLV,vol12m,119.0,0.04183206480351453,0.04185685477169206,-0.17963236092265158,-0.8328509985506738,0.020063594985749496,0.056872648735496176,0.00888828834402197,15.659851751828436
XLV,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLV,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLV,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLV,rel_strength3m,119.0,-0.012235001704951292,-0.00954900363330724,-0.4232173935448575,1.0782603155077823,-0.20429020498604344,0.10787284344619708,0.05493400995816974,-0.8756785579548622
XLV,beta12m,119.0,0.8236193198055288,0.7588927603728028,0.8992943289158235,1.8590828268685171,0.22512114156586052,1.7373996723277811,0.28959181309638365,9.832390426015932
XLV,corr12m,119.0,0.7656931769143389,0.815337504177908,-2.138674687021225,4.295738048744921,0.1509667853186051,0.937844354739629,0.1671071512610703,15.83844680146847
XLV,drawdown6m,119.0,-0.08330006105064984,-0.08309242768129566,0.18420421695583183,-0.4249750629740503,-0.15618162494529964,0.0,0.03862055120025433,-7.619806355332517
XLY,ret1m,119.0,0.011911959365955356,0.012751747047182294,0.16836788931175956,1.0759655129051384,-0.14913319127849634,0.18882547215840395,0.0583915488432841,0.6087009666234613
XLY,ret3m,119.0,0.0354712220263287,0.04211427211172669,-0.640037399427335,1.2958200257531698,-0.27910606499852086,0.28465860002055643,0.08867414939552751,1.3211817971237394
XLY,ret6m,119.0,0.07054920351290858,0.07277613152989137,-0.5585114044369547,2.661950933136913,-0.3708326254277683,0.434314899718633,0.11207849221274833,2.129475153245221
XLY,ret12m,119.0,0.13930431348649425,0.15814117678165018,-0.7745188629423374,1.9556544157659377,-0.40146069528174033,0.5782020061726216,0.14978542153833507,3.183507760577805
XLY,vol3m,119.0,0.05026522402212568,0.04407962227580009,1.3720616672971262,2.3384213382086636,0.0029224006478879515,0.17776027074489661,0.03555418150948021,4.736506118693532
XLY,vol6m,119.0,0.05465457647190137,0.05330526586129908,0.6571493429520806,-0.005638476453768249,0.012573454147481924,0.11931139208270725,0.026536642640422707,6.919027537258405
XLY,vol12m,119.0,0.05591690527289141,0.05443919551993149,0.2922427059620397,-0.6829571632277958,0.019466355995259185,0.09965406531044885,0.020716610688946934,9.073906887390091
XLY,mkt_ret1m,119.0,0.012548192473477899,0.01854927382248417,-0.5048257046247551,0.6804289006649258,-0.12487117726312935,0.12698372422306448,0.04370869029550203,0.8636032812633946
XLY,mkt_ret3m,119.0,0.03715174406204317,0.046399597676570536,-0.8630412805519092,1.5263310769792144,-0.20444076026634594,0.1923630380087724,0.06515897448681048,1.8873251478180948
XLY,mkt_vol6m,119.0,0.04101772790405747,0.039017028444813445,0.5765933628987929,-0.010890356530632861,0.00723591690158967,0.09345180835363445,0.02009329537926436,6.786757943494974
XLY,rel_strength3m,119.0,-0.0016805220357144592,-0.0060628367179492715,-0.07368970710650197,1.129044499909765,-0.16723848689217324,0.11299383033032728,0.04681536890132646,-0.2465588721096067
XLY,beta12m,119.0,1.1644744044586206,1.1500979358804155,0.2864412659400192,0.013246765929046944,0.8547967805788209,1.5626803623232057,0.14736474990668064,27.334463787079365
XLY,corr12m,119.0,0.8721716949524227,0.8869433426230529,-1.5519740894802774,2.9785798864081774,0.48136259477765225,0.9818198558706736,0.10193795164214095,29.582408544885617
XLY,drawdown6m,119.0,-0.12430398033272635,-0.08093644524509924,-0.9145164632534215,-0.27260489799336307,-0.3627219438619922,0.0,0.10422512126816401,-4.186350269351414
